Vendor Name,,,,,,,
NORTAK SOFTWARE,,BS,,,,,
NORTHERN MICRO,,BS,,,,,
NOVA NETWORKS,,BS,,,,,
NRNS,,BS,,,,,
NUIX NORTH AMERICA,,BS,,,,,
NUIX USG,,BS,,,,,
NUNAVUT ARCTIC SERVICES,,BS,,,,,
ONIX NETWORKING CANADA,,BS,,,,,
ONX ENTERPRISE SOLUTIONS,,BS,,,,,
OPEN GEOSPATIAL CONSORTIUM,,BS,,,,,
OPENFRAME TECHNOLOGIES,,BS,,,,,
OPENTEXT,,BS,,,,,
OPROMA,,BS,,,,,
OPTIV CANADA FEDERAL,,BS,,,,,
ORACLE CANADA,,LC,,,,,
ORANGUTECH,,BS,,,,,
ORBIS RISK CONSULTING,,BS,,,,,
OXFORD ECONOMICS USA,,BS,,,,,
PALADIN GROUP,,BS,,,,,
PANASONIC,,BS,,,,,
PERCEPTICS,,BS,,,,,
PHOENIX STRATEGIC PERSPECTIVES,,BS,,,,,
PLANET LABS,,BS,,,,,
PLEIAD CANADA,,BS,,,,,
POMERLEAU,,BS,,,,,
PORTAGE PERSONNEL,,BS,,,,,
PORTS 79,,BS,,,,,
POSTMEDIA NETWORK,,BS,,,,,
PRA,,BS,,,,,
PRECISIONIT,,BS,,,,,
PRICEWATERHOUSE COOPERS,,SI,,,,,
PRINTERS PLUS,,BS,,,,,
PROCOM CONSULTANTS,,BS,,,,,
PROMAXIS,,BS,,,,,
PROSCI CANADA,,BS,,,,,
PROTAK,,BS,,,,,
PROTAK CONSULTING GROUP,,BS,,,,,
PUBLIVATE,,BS,,,,,
PURELOGIC,,BS,,,,,
PURESPIRIT SOLUTIONS,,BS,,,,,
QMR,,BS,,,,,
QUALITY INN AIRPORT WEST,,BS,,,,,
QUANTUM MANAGEMENT SERVICES,,BS,,,,,
QUINTET CONSULTING,,BS,,,,,
QUORUM,,BS,,,,,
R2I,,BS,,,,,
RAMPART INTERNATIONAL,,BS,,,,,
RANDSTAD,,BS,,,,,
RANDSTAD INTERIM INTERIM,,BS,,,,,
RAPISCAN SYSTEMS,,BS,,,,,
RAVEN IT SECURITY,,BS,,,,,
RAYMOND CHABOT GRANT THORNTON,,BS,,,,,
REDMANGO MEDIA,,BS,,,,,
RHEA,,BS,,,,,
RICOH,,LC,,,,,
RISK SCIENCES INTERNATIONAL,,BS,,,,,
ROGERS,,SI,,,,,
RSOLUTIONS,,BS,,,,,
S P GLOBAL MARKET INTELLIGENCE,,BS,,,,,
SALASAN CONSULTING,,BS,,,,,
SALESFORCE CANADA,,BS,,,,,
SAMSON ASSOCIES,,BS,,,,,
SAP,,LC,,,,,
SAS INSTITUTE,,LC,,,,,
SASKTEL,,LC,,,,,
SDL INTERNATIONAL CANADA,,BS,,,,,
SEASPAN VICTORIA SHIPYARDS,,BS,,,,,
SECUREKEY TECHNOLOGIES,,BS,,,,,
SERCO,,BS,,,,,
SHARP ELECTRONICS,,LC,,,,,
SHAW CABLE,,LC,,,,,
SI SYSTEMS,,BS,,,,,
SIERRA SYSTEMS GROUP,,BS,,,,,
SIMPLEX GRINNELL,,BS,,,,,
SKILLSOFT CANADA,,BS,,,,,
SLR CONSULTING CANADA,,BS,,,,,
SNC LAVALIN,,BS,,,,,
SOFTCHOICE,,BS,,,,,
SOFTSIM TECHNOLOGIES,,BS,,,,,
SOLOTECH,,BS,,,,,
SOLUTIONS MOERAE,,BS,,,,,
SOMOS,,BS,,,,,
ST JOHN AMBULANCE,,BS,,,,,
STANTEC,,BS,,,,,
STIFF SENTENCES,,BS,,,,,
STONEWORKS TECHNOLOGIES,,BS,,,,,
STRATOS,,BS,,,,,
SYSTEMATIX SOLUTIONS,,BS,,,,,
SYSTEMSCOPE,,BS,,,,,
TAG HR,,BS,,,,,
TALIGENT CONSULTING,,BS,,,,,
TATO RECRUITING S I SYSTEMS,,BS,,,,,
TECHNOMICS,,BS,,,,,
